Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2018-09-17,SONATSOFTW,EQ,394.4,395.0,416.5,395.0,415.2,409.8,408.14,1565915,639114370.6,32672,564679,36.06,9,2018,275.2922424558156,0.039046653144016334,Slight or No change,364.804,401.584,328.023
2018-09-18,SONATSOFTW,EQ,409.8,413.05,419.0,402.1,405.5,405.5,408.45,388692,158760452.15,15233,152769,39.3,9,2018,275.7191785253426,-0.010492923377257268,Slight or No change,368.725,410.368,327.082
2018-09-19,SONATSOFTW,EQ,405.5,408.8,428.6,406.0,418.0,413.4,416.88,789431,329095810.55,33040,235273,29.8,9,2018,276.6299836413835,0.01948212083847101,Slight or No change,373.304,419.583,327.024
2018-09-21,SONATSOFTW,EQ,413.4,419.0,421.3,335.6,385.0,388.5,388.15,1139161,442160631.3,33878,418659,36.75,9,2018,277.6878005855639,-0.060232220609579,Slight or No change,376.164,420.746,331.582
2018-09-24,SONATSOFTW,EQ,388.5,388.55,391.0,368.95,380.0,380.1,381.31,313178,119418726.85,10963,138825,44.33,9,2018,277.9533388615779,-0.021621621621621512,Slight or No change,378.057,420.721,335.393
2018-09-25,SONATSOFTW,EQ,380.1,375.2,394.75,375.2,381.0,382.25,387.1,356797,138116061.25,13899,124916,35.01,9,2018,278.26052017409205,0.005656406208892406,Slight or No change,380.664,419.073,342.256
2018-09-26,SONATSOFTW,EQ,382.25,381.1,390.0,362.75,389.0,382.65,378.54,530477,200808742.45,16260,283323,53.41,9,2018,278.71564327874927,0.001046435578809568,Slight or No change,382.764,417.781,347.748
2018-09-27,SONATSOFTW,EQ,382.65,387.0,389.0,369.0,372.0,371.1,375.88,390169,146657058.55,24533,219619,56.29,9,2018,279.0109452639965,-0.030184241473931724,Slight or No change,383.546,416.834,350.259
2018-09-28,SONATSOFTW,EQ,371.1,372.0,384.45,366.45,367.0,369.55,374.01,473866,177229487.35,14102,293114,61.86,9,2018,279.3610709284925,-0.004176771759633603,Slight or No change,383.314,416.968,349.661
2018-10-01,SONATSOFTW,EQ,369.55,360.4,365.1,353.25,356.5,359.5,357.78,214187,76632024.45,11327,105469,49.24,10,2018,279.50090423499955,-0.02719523745095387,Slight or No change,382.761,417.78,347.742
