,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
367,SONATSOFTW,EQ,05-Nov-2018,308.6,313.0,322.0,309.35,310.3,312.5,316.24,204550,64687902.6,6641,78214,38.24,11,2018,280.6467883488734,0.01263771872974706,Slight or No change
368,SONATSOFTW,EQ,06-Nov-2018,312.5,312.8,326.0,312.45,321.9,320.4,320.47,161274,51683056.45,4830,59457,36.87,11,2018,280.69707110059943,0.02527999999999997,Slight or No change
369,SONATSOFTW,EQ,07-Nov-2018,320.4,323.2,331.4,323.0,330.7,329.75,329.02,113478,37336713.95,2706,65709,57.9,11,2018,280.7406898008848,0.029182272159800293,Slight or No change
370,SONATSOFTW,EQ,09-Nov-2018,329.75,333.0,338.85,330.1,337.5,335.0,334.55,102302,34225256.15,4191,41076,40.15,11,2018,280.7841514786412,0.01592115238817282,Slight or No change
371,SONATSOFTW,EQ,12-Nov-2018,335.0,337.0,343.8,328.25,338.15,338.1,339.71,106782,36274478.8,3887,47432,44.42,11,2018,280.8320318952073,0.009253731343283667,Slight or No change
372,SONATSOFTW,EQ,13-Nov-2018,338.1,333.75,337.5,329.1,334.8,335.05,334.19,73495,24561570.25,2852,34290,46.66,11,2018,280.86318752551495,-0.009020999704229538,Slight or No change
373,SONATSOFTW,EQ,14-Nov-2018,335.05,335.05,340.85,334.5,335.0,335.25,335.2,131563,44100139.1,2494,102792,78.13,11,2018,280.9190752432755,0.0005969258319653559,Slight or No change
374,SONATSOFTW,EQ,15-Nov-2018,335.25,331.2,342.0,329.1,334.9,335.15,336.49,146141,49175225.75,13796,46330,31.7,11,2018,280.9809071498695,-0.0002982848620433076,Slight or No change
375,SONATSOFTW,EQ,16-Nov-2018,335.15,331.45,344.0,329.0,329.35,331.45,335.75,100721,33817250.1,3992,30276,30.06,11,2018,281.0205347657916,-0.011039832910637037,Slight or No change
376,SONATSOFTW,EQ,19-Nov-2018,331.45,332.3,334.65,322.2,322.55,324.65,325.76,84187,27424851.05,4120,40798,48.46,11,2018,281.04914967750796,-0.020515914919294054,Slight or No change
377,SONATSOFTW,EQ,20-Nov-2018,324.65,324.65,325.0,315.0,318.85,318.85,320.87,60459,19399326.0,5651,30787,50.92,11,2018,281.0669458049666,-0.01786539350069294,Slight or No change
378,SONATSOFTW,EQ,21-Nov-2018,318.85,318.85,322.15,303.15,307.8,308.65,308.57,102701,31690572.3,3823,42306,41.19,11,2018,281.08898688283017,-0.03198996393288389,Slight or No change
379,SONATSOFTW,EQ,22-Nov-2018,308.65,309.0,319.5,309.0,315.05,315.3,315.95,108258,34204602.45,3004,41496,38.33,11,2018,281.1177791642714,0.021545439818564827,Slight or No change
380,SONATSOFTW,EQ,26-Nov-2018,315.3,316.0,322.0,309.2,317.75,317.8,315.48,272623,86006246.35,6699,165258,60.62,11,2018,281.1953589879887,0.007928956549318134,Slight or No change
381,SONATSOFTW,EQ,27-Nov-2018,317.8,318.0,320.0,309.65,311.4,310.85,312.89,70194,21962777.5,4878,37322,53.17,11,2018,281.21149837033624,-0.021869100062932634,Slight or No change
382,SONATSOFTW,EQ,28-Nov-2018,310.85,313.35,314.7,304.2,304.4,306.75,310.61,61535,19113616.85,3161,30606,49.74,11,2018,281.2236771762716,-0.013189641306096234,Slight or No change
383,SONATSOFTW,EQ,29-Nov-2018,306.75,309.45,318.0,304.0,305.35,305.95,313.05,454250,142203291.5,6868,311561,68.59,11,2018,281.31041637235705,-0.002607986960065256,Slight or No change
384,SONATSOFTW,EQ,30-Nov-2018,305.95,308.4,312.0,305.45,306.45,306.4,308.47,68789,21219482.2,2879,39205,56.99,11,2018,281.3237375532032,0.0014708285667592857,Slight or No change
385,SONATSOFTW,EQ,03-Dec-2018,306.4,306.5,309.75,300.95,301.0,301.5,303.32,92885,28173702.9,5086,54525,58.7,12,2018,281.3381921283554,-0.015992167101827603,Slight or No change
386,SONATSOFTW,EQ,04-Dec-2018,301.5,304.65,308.6,301.0,301.0,302.9,305.94,126395,38669765.5,4585,46141,36.51,12,2018,281.35919172326595,0.004643449419568846,Slight or No change
387,SONATSOFTW,EQ,05-Dec-2018,302.9,302.4,302.4,295.0,300.9,298.5,298.29,124686,37192408.5,3809,80532,64.59,12,2018,281.37564406758116,-0.014526246285902822,Slight or No change
388,SONATSOFTW,EQ,06-Dec-2018,298.5,300.0,314.9,300.0,310.7,311.45,309.43,470758,145666104.9,9636,227623,48.35,12,2018,281.4842370718563,0.043383584589614665,Slight or No change
389,SONATSOFTW,EQ,07-Dec-2018,311.45,311.5,317.95,307.25,310.05,312.1,312.89,135716,42463615.4,4514,52609,38.76,12,2018,281.5160740682418,0.002087012361534857,Slight or No change
